name_prov,name_coun,code_coun,code_city,name_city,code_prov,name,id,address,大类,中类,小类,X,Y,X_processed,Y_processed,sub_ID,_timestamp,name_short
浙江省,富阳区,330111,330100,杭州市,330000,富阳客运中心地铁站A口,BX10031254,6号线,交通设施服务,地铁站,出入口,119.9324546,30.11417838,119.93,30.11,"(119.93, 30.11)",2021/7/6,富阳客
浙江省,萧山区,330109,330100,杭州市,330000,港城大道(地铁站),BV11472645,1号线,交通设施服务,地铁站,地铁站,120.4208643,30.2729929,120.42,30.27,"(120.42, 30.27)",2021/7/6,港城大
浙江省,拱墅区,330105,330100,杭州市,330000,皋亭坝(地铁站),BV11507163,(在建)4号线二期,交通设施服务,地铁站,地铁站,120.1677119,30.33320999,120.17,30.33,"(120.17, 30.33)",2021/7/6,皋亭坝
浙江省,余杭区,330110,330100,杭州市,330000,高教路(地铁站),BV11009901,(在建)3号线一期,交通设施服务,地铁站,地铁站,120.0148615,30.2453187,120.01,30.25,"(120.01, 30.25)",2021/7/6,高教路
浙江省,富阳区,330111,330100,杭州市,330000,高桥(地铁站),BV10844853,6号线,交通设施服务,地铁站,地铁站,119.9268843,30.09750966,119.93,30.1,"(119.93, 30.1)",2021/7/6,高桥(
浙江省,钱塘区,330114,330100,杭州市,330000,高沙路地铁站D1口,BX10013622,1号线,交通设施服务,地铁站,出入口,120.3313807,30.31147288,120.33,30.31,"(120.33, 30.31)",2021/7/6,高沙路
浙江省,余杭区,330110,330100,杭州市,330000,葛巷(地铁站),BV11197164,5号线,交通设施服务,地铁站,地铁站,119.9941401,30.27281442,119.99,30.27,"(119.99, 30.27)",2021/7/6,葛巷(
浙江省,钱塘区,330114,330100,杭州市,330000,工商大学云滨地铁站D口,BX10032775,8号线,交通设施服务,地铁站,出入口,120.3895729,30.31295108,120.39,30.31,"(120.39, 30.31)",2021/7/6,工商大
浙江省,富阳区,330111,330100,杭州市,330000,公望街地铁站A口,BX10031258,6号线,交通设施服务,地铁站,出入口,119.929213,30.06877476,119.93,30.07,"(119.93, 30.07)",2021/7/6,公望街
浙江省,拱墅区,330105,330100,杭州市,330000,拱宸桥东地铁站C口,BX10027022,5号线,交通设施服务,地铁站,出入口,120.1423864,30.3188133,120.14,30.32,"(120.14, 30.32)",2021/7/6,拱宸桥
浙江省,上城区,330102,330100,杭州市,330000,枸桔弄(地铁站),BV11027463,(在建)6号线二期,交通设施服务,地铁站,地铁站,120.2017527,30.30380864,120.2,30.3,"(120.2, 30.3)",2021/7/6,枸桔弄
浙江省,萧山区,330109,330100,杭州市,330000,姑娘桥地铁站B口,BX10029045,1号线(柯桥段);5号线,交通设施服务,地铁站,出入口,120.3255617,30.17857128,120.33,30.18,"(120.33, 30.18)",2021/7/6,姑娘桥
浙江省,西湖区,330106,330100,杭州市,330000,古翠路地铁站B口,BX10023067,2号线,交通设施服务,地铁站,出入口,120.1127,30.28462388,120.11,30.28,"(120.11, 30.28)",2021/7/6,古翠路
浙江省,西湖区,330106,330100,杭州市,330000,古荡(地铁站),BV11009904,(在建)3号线一期,交通设施服务,地铁站,地铁站,120.1182675,30.27285198,120.12,30.27,"(120.12, 30.27)",2021/7/6,古荡(
浙江省,西湖区,330106,330100,杭州市,330000,古荡新村(地铁站),BV11009898,(在建)3号线一期,交通设施服务,地铁站,地铁站,120.1078339,30.27298765,120.11,30.27,"(120.11, 30.27)",2021/7/6,古荡新
浙江省,上城区,330102,330100,杭州市,330000,观音塘(地铁站),BV11483730,(在建)7号线一期江北段;(在建)9号线一期南段,交通设施服务,地铁站,地铁站,120.1960427,30.24974128,120.2,30.25,"(120.2, 30.25)",2021/7/6,观音塘
浙江省,富阳区,330111,330100,杭州市,330000,桂花西路地铁站E口,BX10031265,6号线,交通设施服务,地铁站,出入口,119.9304845,30.05042606,119.93,30.05,"(119.93, 30.05)",2021/7/6,桂花西
浙江省,萧山区,330109,330100,杭州市,330000,杭发厂地铁站C1口,BX10013708,2号线,交通设施服务,地铁站,出入口,120.2630819,30.1727936,120.26,30.17,"(120.26, 30.17)",2021/7/6,杭发厂
浙江省,拱墅区,330105,330100,杭州市,330000,杭汽轮(地铁站),BV11009889,(在建)3号线一期,交通设施服务,地铁站,地铁站,120.1836825,30.3384757,120.18,30.34,"(120.18, 30.34)",2021/7/6,杭汽轮
浙江省,余杭区,330110,330100,杭州市,330000,杭师大仓前地铁站D口,BX10027003,5号线,交通设施服务,地铁站,出入口,120.0133304,30.29095198,120.01,30.29,"(120.01, 30.29)",2021/7/6,杭师大
浙江省,余杭区,330110,330100,杭州市,330000,杭行路(地铁站),BV11062312,(在建)10号线一期;(在建)4号线二期,交通设施服务,地铁站,地铁站,120.1097279,30.35590339,120.11,30.36,"(120.11, 30.36)",2021/7/6,杭行路
浙江省,拱墅区,330105,330100,杭州市,330000,杭氧(地铁站),BV11197162,5号线,交通设施服务,地铁站,地铁站,120.1743186,30.29670597,120.17,30.3,"(120.17, 30.3)",2021/7/6,杭氧(
浙江省,萧山区,330109,330100,杭州市,330000,杭州大会展中心地铁站D口,BX10031394,1号线,交通设施服务,地铁站,出入口,120.4081946,30.27303041,120.41,30.27,"(120.41, 30.27)",2021/7/6,杭州大
浙江省,余杭区,330110,330100,杭州市,330000,好运街(地铁站),BV11062307,(在建)4号线二期,交通设施服务,地铁站,地铁站,120.0900381,30.35045491,120.09,30.35,"(120.09, 30.35)",2021/7/6,好运街
浙江省,萧山区,330109,330100,杭州市,330000,合欢路地铁站A口,BX10031650,7号线,交通设施服务,地铁站,出入口,120.33934,30.20062141,120.34,30.2,"(120.34, 30.2)",2021/7/6,合欢路
